,sens,spec,cost-0,cost-1,Algorithm
0,0.87440053615616,0.9064877863411233,2.668321225367792,1.6049890670464,CATT_wb GP CTC ELISA 0.1 XP13
0,0.8751196467968,0.7720730452842693,6.722356186560453,2.301830474944,CATT_wb GP CTC ELISA 0.25 XP13
0,0.8766274594304,0.90972669576418,2.668321225367792,1.6049890670464,CATT_wb GP CTC TL_paper 0.1 XP13
0,0.876975416192,0.77477213647015,6.722356186560453,2.301830474944,CATT_wb GP CTC TL_paper 0.25 XP13
0,0.87328707451904,0.90972669576418,2.668321225367792,1.6049890670464,CATT_wb GP CTC TL_filter 0.1 XP13
0,0.8741917620992,0.77477213647015,6.722356186560453,2.301830474944,CATT_wb GP CTC TL_filter 0.25 XP13
0,0.8675805836288,0.90972669576418,2.668321225367792,1.6049890670464,CATT_wb GP CTC iELISA 0.1 XP13
0,0.869436353024,0.77477213647015,6.722356186560453,2.301830474944,CATT_wb GP CTC iELISA 0.25 XP13
0,0.86103899651072,0.8805765109566694,2.668321225367792,1.6049890670464,CATT_wb GP CTC PCR 0.1 XP13
0,0.8639850304256,0.7504803157972246,6.722356186560453,2.301830474944,CATT_wb GP CTC PCR 0.25 XP13
0,0.86103899651072,0.8514263261491589,2.668321225367792,1.6049890670464,CATT_wb GP CTC LAMP 0.1 XP13
0,0.8639850304256,0.7261884951242992,6.722356186560453,2.301830474944,CATT_wb GP CTC LAMP 0.25 XP13
0,0.8766252847006399,0.9064877863411233,7.595788703867792,3.4344100578256,CATT_wb GP MaECT ELISA 0.1 XP13
0,0.8769736039172,0.7720730452842693,11.649823665060453,3.771942614776,CATT_wb GP MaECT ELISA 0.25 XP13
0,0.8777039506616,0.90972669576418,7.595788703867792,3.4344100578256,CATT_wb GP MaECT TL_paper 0.1 XP13
0,0.877872492218,0.77477213647015,11.649823665060453,3.771942614776,CATT_wb GP MaECT TL_paper 0.25 XP13
0,0.87608595172016,0.90972669576418,7.595788703867792,3.4344100578256,CATT_wb GP MaECT TL_filter 0.1 XP13
0,0.8765241597668,0.77477213647015,11.649823665060453,3.771942614776,CATT_wb GP MaECT TL_filter 0.25 XP13
0,0.8733218701952,0.90972669576418,7.595788703867792,3.4344100578256,CATT_wb GP MaECT iELISA 0.1 XP13
0,0.874220758496,0.77477213647015,11.649823665060453,3.771942614776,CATT_wb GP MaECT iELISA 0.25 XP13
0,0.87015328893488,0.8805765109566694,7.595788703867792,3.4344100578256,CATT_wb GP MaECT PCR 0.1 XP13
0,0.8715802741123999,0.7504803157972246,11.649823665060453,3.771942614776,CATT_wb GP MaECT PCR 0.25 XP13
0,0.87015328893488,0.8514263261491589,7.595788703867792,3.4344100578256,CATT_wb GP MaECT LAMP 0.1 XP13
0,0.8715802741123999,0.7261884951242992,11.649823665060453,3.771942614776,CATT_wb GP MaECT LAMP 0.25 XP13
0,0.87783878390672,0.9064877863411233,7.595788703867792,3.4013976600688,CATT_wb GP MaECT_bc ELISA 0.1 XP13
0,0.8779848532556,0.7720730452842693,11.649823665060453,3.5429435710479997,CATT_wb GP MaECT_bc ELISA 0.25 XP13
0,0.8782911276968,0.90972669576418,7.595788703867792,3.4013976600688,CATT_wb GP MaECT_bc TL_paper 0.1 XP13
0,0.878361806414,0.77477213647015,11.649823665060453,3.5429435710479997,CATT_wb GP MaECT_bc TL_paper 0.25 XP13
0,0.8776126120116801,0.90972669576418,7.595788703867792,3.4013976600688,CATT_wb GP MaECT_bc TL_filter 0.1 XP13
0,0.8777963766764,0.77477213647015,11.649823665060453,3.5429435710479997,CATT_wb GP MaECT_bc TL_filter 0.25 XP13
0,0.8764534810496,0.90972669576418,7.595788703867792,3.4013976600688,CATT_wb GP MaECT_bc iELISA 0.1 XP13
0,0.876830434208,0.77477213647015,11.649823665060453,3.5429435710479997,CATT_wb GP MaECT_bc iELISA 0.25 XP13
0,0.8751247211662401,0.8805765109566694,7.595788703867792,3.4013976600688,CATT_wb GP MaECT_bc PCR 0.1 XP13
0,0.8757231343052,0.7504803157972246,11.649823665060453,3.5429435710479997,CATT_wb GP MaECT_bc PCR 0.25 XP13
0,0.8751247211662401,0.8514263261491589,7.595788703867792,3.4013976600688,CATT_wb GP MaECT_bc LAMP 0.1 XP13
0,0.8757231343052,0.7261884951242992,11.649823665060453,3.5429435710479997,CATT_wb GP MaECT_bc LAMP 0.25 XP13
0,0.8764904514555201,0.9064877863411233,3.1084183207077922,1.7169348348208,CATT_wb GP QBC ELISA 0.1 XP13
0,0.8768612428796,0.7720730452842693,7.1624532819004525,2.076243685768,CATT_wb GP QBC ELISA 0.25 XP13
0,0.8776387087688,0.90972669576418,3.1084183207077922,1.7169348348208,CATT_wb GP QBC TL_paper 0.1 XP13
0,0.8778181239739999,0.77477213647015,7.1624532819004525,2.076243685768,CATT_wb GP QBC TL_paper 0.25 XP13
0,0.87591632279888,0.90972669576418,3.1084183207077922,1.7169348348208,CATT_wb GP QBC TL_filter 0.1 XP13
0,0.8763828023324,0.77477213647015,7.1624532819004525,2.076243685768,CATT_wb GP QBC TL_filter 0.25 XP13
0,0.8729739134336001,0.90972669576418,3.1084183207077922,1.7169348348208,CATT_wb GP QBC iELISA 0.1 XP13
0,0.873930794528,0.77477213647015,7.1624532819004525,2.076243685768,CATT_wb GP QBC iELISA 0.25 XP13
0,0.86960090757584,0.8805765109566694,3.1084183207077922,1.7169348348208,CATT_wb GP QBC PCR 0.1 XP13
0,0.8711199563132,0.7504803157972246,7.1624532819004525,2.076243685768,CATT_wb GP QBC PCR 0.25 XP13
