,sens,spec,cost-0,cost-1,Algorithm
0,0.8755029714301235,0.4525395157890831,5.191971484166153,2.0387751631744,CATT_wb GP CTC CATT_4_Dilution ELISA 0.1 XP123
0,0.8760199655865089,0.45232790704011006,5.191971484166153,2.0387751631744,CATT_wb GP CTC CATT_4_Dilution ELISA 0.25 XP123
0,0.8755086624562688,0.4526805882883984,9.246006445358814,2.7356165710719997,CATT_wb GP CTC CATT_4_Dilution TL_paper 0.1 XP123
0,0.876034193151872,0.4526805882883984,9.246006445358814,2.7356165710719997,CATT_wb GP CTC CATT_4_Dilution TL_paper 0.25 XP123
0,0.875500125917051,0.4526805882883984,9.246006445358814,2.7356165710719997,CATT_wb GP CTC CATT_4_Dilution TL_filter 0.1 XP123
0,0.8760128518038272,0.4526805882883984,9.246006445358814,2.7356165710719997,CATT_wb GP CTC CATT_4_Dilution TL_filter 0.25 XP123
0,0.8754855426625536,0.4526805882883984,7.20819260001896,2.385340097728,CATT_wb GP CTC CATT_4_Dilution iELISA 0.1 XP123
0,0.875976393667584,0.4526805882883984,7.20819260001896,2.385340097728,CATT_wb GP CTC CATT_4_Dilution iELISA 0.25 XP123
0,0.8754688252732519,0.45141093579456015,9.056170365285212,2.7029859592063996,CATT_wb GP CTC CATT_4_Dilution PCR 0.1 XP123
0,0.8759346001943296,0.4495064570538028,9.056170365285212,2.7029859592063996,CATT_wb GP CTC CATT_4_Dilution PCR 0.25 XP123
0,0.8754688252732519,0.45014128330072195,9.246006445358814,2.7356165710719997,CATT_wb GP CTC CATT_4_Dilution LAMP 0.1 XP123
0,0.8759346001943296,0.4463323258192072,9.246006445358814,2.7356165710719997,CATT_wb GP CTC CATT_4_Dilution LAMP 0.25 XP123
0,0.8491068323124429,0.6306082780498954,5.191971484166153,2.0387751631744,CATT_wb GP CTC CATT_8_Dilution ELISA 0.1 XP123
0,0.8538721697539072,0.6302897852899615,5.191971484166153,2.0387751631744,CATT_wb GP CTC CATT_8_Dilution ELISA 0.25 XP123
0,0.8491592887273471,0.630820606556518,9.246006445358814,2.7356165710719997,CATT_wb GP CTC CATT_8_Dilution TL_paper 0.1 XP123
0,0.854003310791168,0.630820606556518,9.246006445358814,2.7356165710719997,CATT_wb GP CTC CATT_8_Dilution TL_paper 0.25 XP123
0,0.8490806041049908,0.630820606556518,9.246006445358814,2.7356165710719997,CATT_wb GP CTC CATT_8_Dilution TL_filter 0.1 XP123
0,0.8538065992352768,0.630820606556518,9.246006445358814,2.7356165710719997,CATT_wb GP CTC CATT_8_Dilution TL_filter 0.25 XP123
0,0.8489461845417984,0.630820606556518,7.20819260001896,2.385340097728,CATT_wb GP CTC CATT_8_Dilution iELISA 0.1 XP123
0,0.853470550327296,0.630820606556518,7.20819260001896,2.385340097728,CATT_wb GP CTC CATT_8_Dilution iELISA 0.25 XP123
0,0.848792093823017,0.6289096499969145,9.056170365285212,2.7029859592063996,CATT_wb GP CTC CATT_8_Dilution PCR 0.1 XP123
0,0.8530853235303424,0.6260432151575094,9.056170365285212,2.7029859592063996,CATT_wb GP CTC CATT_8_Dilution PCR 0.25 XP123
0,0.848792093823017,0.626998693437311,9.246006445358814,2.7356165710719997,CATT_wb GP CTC CATT_8_Dilution LAMP 0.1 XP123
0,0.8530853235303424,0.6212658237585007,9.246006445358814,2.7356165710719997,CATT_wb GP CTC CATT_8_Dilution LAMP 0.25 XP123
0,0.8221520447478272,0.8356571558047702,5.191971484166153,2.0387751631744,CATT_wb GP CTC CATT_16_Dilution ELISA 0.1 XP123
0,0.831255637501568,0.8352155844867601,5.191971484166153,2.0387751631744,CATT_wb GP CTC CATT_16_Dilution ELISA 0.25 XP123
0,0.822252256295168,0.8359515366834436,9.246006445358814,2.7356165710719997,CATT_wb GP CTC CATT_16_Dilution TL_paper 0.1 XP123
0,0.83150616636992,0.8359515366834436,9.246006445358814,2.7356165710719997,CATT_wb GP CTC CATT_16_Dilution TL_paper 0.25 XP123
0,0.8221019389741568,0.8359515366834436,9.246006445358814,2.7356165710719997,CATT_wb GP CTC CATT_16_Dilution TL_filter 0.1 XP123
0,0.831130373067392,0.8359515366834436,9.246006445358814,2.7356165710719997,CATT_wb GP CTC CATT_16_Dilution TL_filter 0.25 XP123
0,0.8218451468840959,0.8359515366834436,7.20819260001896,2.385340097728,CATT_wb GP CTC CATT_16_Dilution iELISA 0.1 XP123
0,0.83048839284224,0.8359515366834436,7.20819260001896,2.385340097728,CATT_wb GP CTC CATT_16_Dilution iELISA 0.25 XP123
0,0.8215507754637823,0.833302108775383,9.056170365285212,2.7029859592063996,CATT_wb GP CTC CATT_16_Dilution PCR 0.1 XP123
0,0.829752464291456,0.8293279669132926,9.056170365285212,2.7029859592063996,CATT_wb GP CTC CATT_16_Dilution PCR 0.25 XP123
0,0.8215507754637823,0.8306526808673228,9.246006445358814,2.7356165710719997,CATT_wb GP CTC CATT_16_Dilution LAMP 0.1 XP123
0,0.829752464291456,0.8227043971431416,9.246006445358814,2.7356165710719997,CATT_wb GP CTC CATT_16_Dilution LAMP 0.25 XP123
0,0.73905308826624,0.999336523135416,2.668321225367792,1.6049890670464,CATT_wb GP CTC No_Dilution ELISA 0.1 XP123
0,0.7615310950656,0.9987967048982398,2.668321225367792,1.6049890670464,CATT_wb GP CTC No_Dilution ELISA 0.25 XP123
0,0.7393005241856,0.9996964019601999,6.722356186560453,2.301830474944,CATT_wb GP CTC No_Dilution TL_paper 0.1 XP123
